"soil";"prof_super";"prof_infer";"bd";"oc";"ph";"clay";"silt";"sand";"crs_name";"crs_code";"X";"Y"
"HalfMoon16";15;20;NA;2,73;3,7;10,5;27,3;62,2;"south pole stereographic";"ESRI:102021";-2698103,166;1563101,324
"HalfMoon16";10;15;NA;3,9;4,06;17,3;25,3;57,4;"south pole stereographic";"ESRI:102021";-2698103,166;1563101,324
"HalfMoon17";70;100;NA;1,32;5,06;1,1;0,6;98,3;"south pole stereographic";"ESRI:102021";-2698207,631;1563133,628
"HalfMoon17";0;20;NA;1,5;5,73;2,25;4,33;93,45;"south pole stereographic";"ESRI:102021";-2698207,631;1563133,628
"HalfMoon18";15;25;NA;0,2;6,7;3;26,7;70,4;"south pole stereographic";"ESRI:102021";-2699502,622;1563837,008
"HalfMoon18";7;15;NA;0,39;6,35;2,2;23,7;74,1;"south pole stereographic";"ESRI:102021";-2699502,622;1563837,008
"HalfMoon18";0;7;NA;3,05;5,12;2,6;25,2;72,25;"south pole stereographic";"ESRI:102021";-2699502,622;1563837,008
"HalfMoon19";10;25;NA;1,75;7,16;8,7;22,6;68,7;"south pole stereographic";"ESRI:102021";-2699172,257;1563537,025
"HalfMoon19";25;37;NA;1,79;7,29;10,1;34,8;55,1;"south pole stereographic";"ESRI:102021";-2699172,257;1563537,025
"HalfMoon19";0;10;NA;2,53;7,18;9,4;28,7;61,9;"south pole stereographic";"ESRI:102021";-2699172,257;1563537,025
"HalfMoon20";15;25;NA;1,02;4,39;2,87;2,17;94,98;"south pole stereographic";"ESRI:102021";-2699183,659;1563530,491
"HalfMoon20";0;15;NA;1,63;4,25;2,24;2,14;95,66;"south pole stereographic";"ESRI:102021";-2699183,659;1563530,491
"HalfMoon21";25;40;NA;3,4;5,34;3,5;2,2;94,3;"south pole stereographic";"ESRI:102021";-2698262,167;1562892,948
"HalfMoon21";0;25;NA;3,6;4,86;3,2;2,6;94,2;"south pole stereographic";"ESRI:102021";-2698262,167;1562892,948
"HarmonyPoint1L10P1";0;10;NA;2,6;5,79;8,5;27,5;64;"south pole stereographic";"ESRI:102021";-2708210,741;1613992,258
"HarmonyPoint1L10P2";0;10;NA;2,41;4,79;14,7;15;70,4;"south pole stereographic";"ESRI:102021";-2708197,035;1613989,854
"HarmonyPoint1L10P3";0;10;NA;5,94;4,88;16,4;23,5;60,1;"south pole stereographic";"ESRI:102021";-2708190,497;1613996,207
"HarmonyPoint1L10P4";0;10;NA;4,45;5,93;18,9;17,1;64;"south pole stereographic";"ESRI:102021";-2708184,523;1614001,614
"HarmonyPoint1L10P5";0;10;NA;8,53;5,39;22,4;24,3;53,4;"south pole stereographic";"ESRI:102021";-2708177,984;1614007,966
"HarmonyPoint1L10P6";0;10;NA;8,53;4,5;22,9;27,5;49,7;"south pole stereographic";"ESRI:102021";-2708173,025;1614013,978
"HarmonyPoint1L10P7";0;10;NA;8,53;5,48;22,7;20;57,3;"south pole stereographic";"ESRI:102021";-2708163,833;1614015,546
"HarmonyPoint1L1P1";0;10;NA;10,02;5,49;23,5;22,3;54,2;"south pole stereographic";"ESRI:102021";-2708274,569;1614062,966
"HarmonyPoint1L7P1";0;10;NA;5,94;4,58;22;15,2;62,8;"south pole stereographic";"ESRI:102021";-2708216,01;1614031,91
"HarmonyPoint1L7P2";0;10;NA;6,68;4,25;21,3;17,9;60,7;"south pole stereographic";"ESRI:102021";-2708217,641;1614024,554
"HarmonyPoint1L7P3";0;10;NA;8,16;4,49;22,4;12,9;64,7;"south pole stereographic";"ESRI:102021";-2708222,882;1614018,069
"HarmonyPoint1L7P4";0;10;NA;9,65;4,38;26,8;15,4;57,9;"south pole stereographic";"ESRI:102021";-2708226,656;1614009,429
"HarmonyPoint1L8P5";0;10;NA;6,68;5,28;23,8;19;57,2;"south pole stereographic";"ESRI:102021";-2708225,011;1613993,716
"HarmonyPoint1L8P6";0;10;NA;7,05;4,6;21,8;18,3;60;"south pole stereographic";"ESRI:102021";-2708221,067;1614000,333
"HarmonyPoint1L8P7";0;10;NA;4,83;4,83;15,1;7,5;77,4;"south pole stereographic";"ESRI:102021";-2708215,433;1614009,786
"HarmonyPoint1L9P1";0;10;NA;10,39;5,3;22,9;33,4;43,7;"south pole stereographic";"ESRI:102021";-2708200,6;1614009,274
"HarmonyPoint1L9P4";0;10;NA;5,57;4,69;21,3;18,8;59,8;"south pole stereographic";"ESRI:102021";-2708189,332;1614028,181
"HarmonyPoint1L9P7";0;10;NA;1,86;6,1;14,2;24,5;61,3;"south pole stereographic";"ESRI:102021";-2708194,344;1614015,153
"HarmonyPoint2L1P1";0;10;NA;2,6;5,31;15,7;18,1;66,2;"south pole stereographic";"ESRI:102021";-2708280,66;1614068,924
"HarmonyPoint2L1P2";0;10;NA;18,56;4,65;26,2;23,6;50,3;"south pole stereographic";"ESRI:102021";-2708270,327;1614072,37
"HarmonyPoint2L1P3";0;10;NA;8,9;4,59;22,5;21,3;56,2;"south pole stereographic";"ESRI:102021";-2708265,643;1614075,665
"HarmonyPoint2L1P5";0;10;NA;7,42;5,02;16,2;15,9;67,9;"south pole stereographic";"ESRI:102021";-2708322,207;1613941,463
"HarmonyPoint2L1P6";0;10;NA;3,71;5,85;13,9;20,7;65,4;"south pole stereographic";"ESRI:102021";-2708320,228;1613933,238
"HarmonyPoint2L1P7";0;10;NA;1,86;6,24;14;16,6;69,4;"south pole stereographic";"ESRI:102021";-2708318,982;1613926,09
"HarmonyPoint2L2P1";0;10;NA;3,71;6,26;17,2;22,8;60,1;"south pole stereographic";"ESRI:102021";-2708316,721;1613918,337
